"subject","time","stage"
1,1410,1
1,2640,2
1,3660,0
1,4770,0
1,7680,3
1,11820,2
1,17190,3
1,17700,3
1,18750,2
1,19590,2
1,20130,5
1,20790,5
1,21060,0
1,22620,2
1,23340,3
1,24090,2
1,26700,2
1,27030,2
1,28020,1
2,60,0
2,660,2
2,2430,2
2,4260,2
2,5070,3
2,5160,3
2,9960,2
2,13260,5
2,15600,0
2,16500,2
2,18990,2
2,19830,5
2,20910,5
2,22080,5
2,26430,2
3,4650,3
3,9780,3
3,10410,3
3,14940,2
3,24390,0
4,3540,3
4,3720,3
4,4080,3
4,4410,2
4,5040,3
4,12030,2
4,15930,5
4,17070,1
4,18090,1
4,18180,2
4,20670,5
4,20730,5
4,22380,0
4,23370,0
5,90,0
5,660,0
5,780,0
5,2460,0
5,5040,2
5,5160,1
5,5340,0
5,6270,0
5,7980,3
5,16500,0
5,18060,2
5,25950,2
5,27630,2
5,27810,2
6,3240,3
6,10230,2
6,16050,3
6,17910,1
6,20610,5
6,20640,5
6,24930,0
7,2190,1
7,2970,0
7,6330,3
7,7020,0
7,8100,2
7,13530,2
7,13710,3
7,13830,3
7,13890,3
7,14310,3
7,14730,2
7,15900,2
7,20070,3
7,22260,3
7,22470,3
7,23640,0
8,330,0
8,1440,1
8,3270,0
8,7230,0
8,7590,0
8,9330,0
8,9600,0
8,14040,5
8,17730,2
8,19560,1
8,23580,2
8,23610,2
8,27060,2
9,990,1
9,1440,1
9,1860,2
9,5910,3
9,8820,2
9,10410,3
9,15480,5
9,16200,1
9,17160,2
9,18000,2
9,18330,3
9,21210,1
9,22860,5
9,26640,2
9,26670,2
9,27870,2
10,240,0
10,450,0
10,3120,1
10,3990,2
10,7680,5
10,7830,5
10,8100,2
10,8580,3
10,8640,3
10,8880,3
10,11610,0
10,13350,2
10,13470,1
10,15720,1
10,17850,1
10,18090,2
10,21240,5
10,21300,5
10,21450,2
10,23430,0
10,23520,0
